Address,Translated,Status,Province,Administrative District,Building,Neighbourhood,Town,Street,Village,Country,Latitude,Longitude,api
"Ծատուրյան փողոց, Երևան","Tsaturyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,ulitsa Tsaturyana,,Armenia,40.163432,44.517936,Yandex
"Ծատուրյան փողոց 68, Երևան","68 Tsaturyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,ulitsa Tsaturyana,,Armenia,40.163432,44.517936,Yandex
"Նաիրյան փողոց 179, Սևան","179 Nairyan Street, Sevan",OK,Gegharkunik,Sevan,179,,Sevan,ulitsa Nairyan,,Armenia,40.549725,44.964067,Yandex
"Հատիս փողոց 63, Աբովյան","63 Hatis Street, Abovyan",OK,Kotayk,Abovyan,,,Abovyan,ulitsa Chapichi,,Armenia,40.27027,44.63628,Yandex
"Հատիս փողոց 23, Աբովյան","23 Hatis Street, Abovyan",OK,Kotayk,Abovyan,,,Abovyan,ulitsa Chapichi,,Armenia,40.27027,44.63628,Yandex
"Թումանյան փողոց 110, Գյումրի","110 Tumanyan Street, Gyumri",OK,Shirak,Gyumri,110,,Gyumri,Tumanyan Street 6th Lane,,Armenia,40.783327,43.846607,Yandex
"Tumanyan street, Vanadzor","Tumanyan street, Vanadzor",OK,Lori,Vanadzor,,,Vanadzor,Tumanyan street,,Armenia,40.80730433,44.49732989,Nominatim
"Tumanyan street 4, Vanadzor","Tumanyan street 4, Vanadzor",OK,Lori,Vanadzor,4,,Vanadzor,Tumanyan street,,Armenia,40.8059978,44.49766105,Nominatim
"Թումանյան փողոց, Երևան","Tumanyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan Street,,Armenia,40.18301,44.516571,Yandex
"Թումանյան փողոց, Yerevan","Tumanyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan Street,,Armenia,40.18301,44.516571,Yandex
"Tumanyan Street, Երևան","Tumanyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan Street,,Armenia,40.18301,44.516571,Yandex
"Tumanyan street, Yerevan","Tumanyan street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan street,,Armenia,40.1849662,44.5138938,Nominatim
"Tumanyan street, Երևան","Tumanyan street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan street,,Armenia,40.1849662,44.5138938,Nominatim
"Улица Туманяна, Yerevan","Tumanyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan street,,Armenia,40.1849662,44.5138938,Nominatim
"Tumanyan street 9a, Yerevan","Tumanyan street 9a, Yerevan",OK,Yerevan,Kentron,9a,,Yerevan,Tumanyan street,,Armenia,40.1797201,44.51979259,Nominatim
"Tumanyan street 9, Yerevan","Tumanyan street 9, Yerevan",OK,Yerevan,Kentron,9,,Yerevan,Tumanyan street,,Armenia,40.1797894,44.52046368,Nominatim
"Tumanyan street 7, Երևան","Tumanyan street 7, Yerevan",OK,Yerevan,Kentron,7,,Yerevan,Tumanyan street,,Armenia,40.1796186,44.52096016,Nominatim
"Tumanyan street 5a, Երևան","Tumanyan street 5a, Yerevan",OK,Yerevan,Kentron,5A,,Yerevan,Tumanyan Street,,Armenia,40.179461,44.521332,Yandex
"Tumanyan street 5a, Yerevan","Tumanyan street 5a, Yerevan",OK,Yerevan,Kentron,5a,,Yerevan,Tumanyan street,,Armenia,40.1793234,44.52126967,Nominatim
"Tumanyan street 5, Yerevan","Tumanyan street 5, Yerevan",OK,Yerevan,Kentron,5,,Yerevan,Tumanyan street,,Armenia,40.17923445,44.52145886,Nominatim
"Tumanyan street 41, Yerevan","Tumanyan street 41, Yerevan",OK,Yerevan,Kentron,41,,Yerevan,Tumanyan street,,Armenia,40.187306,44.51026151,Nominatim
"Tumanyan street 40, Yerevan","Tumanyan street 40, Yerevan",OK,Yerevan,Kentron,40,,Yerevan,Tumanyan street,,Armenia,40.18666985,44.51195337,Nominatim
"Tumanyan street 39, Yerevan","Tumanyan street 39, Yerevan",OK,Yerevan,Kentron,39,,Yerevan,Tumanyan street,,Armenia,40.1871677,44.51042478,Nominatim
"Tumanyan street 39, Երևան","Tumanyan street 39, Yerevan",OK,Yerevan,Kentron,39,,Yerevan,Tumanyan street,,Armenia,40.1871677,44.51042478,Nominatim
"Tumanyan street 37, Երևան","Tumanyan street 37, Yerevan",OK,Yerevan,Kentron,37,,Yerevan,Tumanyan Street,,Armenia,40.186978,44.510651,Yandex
"Tumanyan street 35a, Yerevan","Tumanyan street 35a, Yerevan",OK,Yerevan,Kentron,35a,,Yerevan,Tumanyan street,,Armenia,40.18643885,44.51036514,Nominatim
"Tumanyan street 35/11, Yerevan","Tumanyan street 35/11, Yerevan",OK,Yerevan,Kentron,35/11,,Yerevan,Tumanyan street,,Armenia,40.18665195,44.51059531,Nominatim
"Tumanyan street 35, Yerevan","Tumanyan street 35, Yerevan",OK,Yerevan,Kentron,35,,Yerevan,Tumanyan street,,Armenia,40.18672185,44.51106313,Nominatim
"Tumanyan street 34, Yerevan","Tumanyan street 34, Yerevan",OK,Yerevan,Kentron,34,,Yerevan,Tumanyan street,,Armenia,40.1836594,44.51607611,Nominatim
"Tumanyan street 33, Yerevan","Tumanyan street 33, Yerevan",OK,Yerevan,Kentron,33,,Yerevan,Tumanyan street,,Armenia,40.1864017,44.51150004,Nominatim
"Tumanyan street 32/1, Երևան","Tumanyan street 32/1, Yerevan",OK,Yerevan,Kentron,32/1,,Yerevan,Tumanyan Street,,Armenia,40.183554,44.516984,Yandex
"Tumanyan street 32, Yerevan","Tumanyan street 32, Yerevan",OK,Yerevan,Kentron,32,,Yerevan,Tumanyan street,,Armenia,40.1832683,44.51665225,Nominatim
"Tumanyan street 31a, Yerevan","Tumanyan street 31a, Yerevan",OK,Yerevan,Kentron,31ա,,Yerevan,Tumanyan street,,Armenia,40.18574045,44.512424,Nominatim
"Tumanyan street 31, Երևան","Tumanyan street 31, Yerevan",OK,Yerevan,Kentron,31,,Yerevan,Tumanyan street,,Armenia,40.1858786,44.5122241,Nominatim
"Tumanyan street 31, Yerevan","Tumanyan street 31, Yerevan",OK,Yerevan,Kentron,31,,Yerevan,Tumanyan street,,Armenia,40.1858786,44.5122241,Nominatim
"Tumanyan street 30, Yerevan","Tumanyan street 30, Yerevan",OK,Yerevan,Kentron,30,,Yerevan,Tumanyan street,,Armenia,40.18283115,44.51725736,Nominatim
"Tumanyan street 3, Yerevan","Tumanyan street 3, Yerevan",OK,Yerevan,Kentron,3,,Yerevan,Tumanyan street,,Armenia,40.1788123,44.5221409,Nominatim
"Tumanyan street 29, Yerevan","Tumanyan street 29, Yerevan",OK,Yerevan,Kentron,29,,Yerevan,Tumanyan street,,Armenia,40.1850749,44.51337221,Nominatim
"Թումանյան փողոց 22, Yerevan","Tumanyan Street 22, Yerevan",OK,Yerevan,Kentron,22,,Yerevan,Tumanyan Street,,Armenia,40.181625,44.518924,Yandex
"Tumanyan street 22, Yerevan","Tumanyan street 22, Yerevan",OK,Yerevan,Kentron,22,,Yerevan,Tumanyan street,,Armenia,40.18163265,44.51889512,Nominatim
"Tumanyan street 21, Yerevan","Tumanyan street 21, Yerevan",OK,Yerevan,Kentron,21,,Yerevan,Tumanyan street,,Armenia,40.18295895,44.51633155,Nominatim
"Tumanyan street 20, Yerevan","Tumanyan street 20, Yerevan",OK,Yerevan,Kentron,20,,Yerevan,Tumanyan street,,Armenia,40.18109685,44.51975681,Nominatim
"Tumanyan street 19, Yerevan","Tumanyan street 19, Yerevan",OK,Yerevan,Kentron,19,,Yerevan,Tumanyan street,,Armenia,40.18274445,44.51662754,Nominatim
"Tumanyan street 18Ա, Երևան","Tumanyan street 18A, Yerevan",OK,Yerevan,Kentron,18A,,Yerevan,Tumanyan Street,,Armenia,40.18077,44.520083,Yandex
"Tumanyan street 18, Yerevan","Tumanyan street 18, Yerevan",OK,Yerevan,Kentron,18,,Yerevan,Tumanyan street,,Armenia,40.1808706,44.52000065,Nominatim
"Tumanyan street 16, Yerevan","Tumanyan street 16, Yerevan",OK,Yerevan,Kentron,16,,Yerevan,Tumanyan street,,Armenia,40.18068105,44.52037148,Nominatim
"Tumanyan street 13, Երևան","Tumanyan street 13, Yerevan",OK,Yerevan,Kentron,13,,Yerevan,Tumanyan street,,Armenia,40.1806359,44.51950645,Nominatim
"Tumanyan street 13, Yerevan","Tumanyan street 13, Yerevan",OK,Yerevan,Kentron,13,,Yerevan,Tumanyan street,,Armenia,40.1806359,44.51950645,Nominatim
"Tumanyan street 12Ա, Երևան","Tumanyan street 12A, Yerevan",OK,Yerevan,Kentron,12,,Yerevan,Tumanyan Street,,Armenia,40.180474,44.520838,Yandex
"Tumanyan street 12, Yerevan","Tumanyan street 12, Yerevan",OK,Yerevan,Kentron,12,,Yerevan,Tumanyan street,,Armenia,40.1805081,44.52092961,Nominatim
"Tumanyan street 11a, Yerevan","Tumanyan street 11a, Yerevan",OK,Yerevan,Kentron,11a,,Yerevan,Tumanyan street,,Armenia,40.18028535,44.51940922,Nominatim
"Tumanyan street 11, Yerevan","Tumanyan street 11, Yerevan",OK,Yerevan,Kentron,11,,Yerevan,Tumanyan street,,Armenia,40.1802412,44.52009641,Nominatim
"Tumanyan street 10, Yerevan","Tumanyan street 10, Yerevan",OK,Yerevan,Kentron,10,,Yerevan,Tumanyan street,,Armenia,40.18003095,44.52114257,Nominatim
"Tumanyan street 1, Yerevan","Tumanyan street 1, Yerevan",OK,Yerevan,Kentron,1,,Yerevan,Tumanyan street,,Armenia,40.1784705,44.52252983,Nominatim
"Улица Ованнеса Туманяна, Ереван","Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan Street,,Armenia,40.18301,44.516571,Yandex
"Hovhannes Tumanyan Street 41, Yerevan","Hovhannes Tumanyan Street 41, Yerevan",OK,Yerevan,Kentron,41,,Yerevan,Tumanyan Street,,Armenia,40.187337,44.510229,Yandex
"Hovhannes Tumanyan Street 38, Yerevan","Hovhannes Tumanyan Street 38, Yerevan",OK,Yerevan,Kentron,38,,Yerevan,Tumanyan Street,,Armenia,40.186193,44.512519,Yandex
"Hovhannes Tumanyan Street 33, Yerevan","Hovhannes Tumanyan Street 33, Yerevan",OK,Yerevan,Kentron,33,,Yerevan,Tumanyan Street,,Armenia,40.186496,44.511415,Yandex
"Улица Ованнеса Туманяна 32, Ереван","Hovhannes Tumanyan Street 32, Yerevan",OK,Yerevan,Kentron,32,,Yerevan,Tumanyan Street,,Armenia,40.183272,44.516652,Yandex
"Hovhannes Tumanyan Street 31, Yerevan","Hovhannes Tumanyan Street 31, Yerevan",OK,Yerevan,Kentron,31,,Yerevan,Tumanyan Street,,Armenia,40.185938,44.51216,Yandex
"Улица Ованнеса Туманяна 21, Ереван","Hovhannes Tumanyan Street 21, Yerevan",OK,Yerevan,Kentron,21,,Yerevan,Tumanyan Street,,Armenia,40.182948,44.51631,Yandex
"Hovhannes Tumanyan Street 19, Yerevan","Hovhannes Tumanyan Street 19, Yerevan",OK,Yerevan,Kentron,19,,Yerevan,Tumanyan Street,,Armenia,40.182734,44.516625,Yandex
"Улица Ованнеса Туманяна 13, Ереван","Hovhannes Tumanyan Street 13, Yerevan",OK,Yerevan,Kentron,13,,Yerevan,Tumanyan Street,,Armenia,40.180626,44.519526,Yandex
"Hovhannes Tumanyan Street 10, Yerevan","Hovhannes Tumanyan Street 10, Yerevan",OK,Yerevan,Kentron,10,,Yerevan,Tumanyan Street,,Armenia,40.180019,44.521125,Yandex
"Թումանյան փողոց 9Ա, Երևան","9A Tumanyan Street, Yerevan",OK,Yerevan,Kentron,9A,,Yerevan,Tumanyan Street,,Armenia,40.179702,44.519769,Yandex
"Թումանյան փողոց 78, Երևան","78 Tumanyan Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan Street,,Armenia,40.18301,44.516571,Yandex
"Թումանյան փողոց 5Ա, Երևան","5A Tumanyan Street, Yerevan",OK,Yerevan,Kentron,5A,,Yerevan,Tumanyan Street,,Armenia,40.179461,44.521332,Yandex
"Թումանյան փողոց 40, Yerevan","40 Tumanyan Street, Yerevan",OK,Yerevan,Kentron,40,,Yerevan,Tumanyan street,,Armenia,40.18666985,44.51195337,Nominatim
"Թումանյան փողոց 31, Yerevan","31 Tumanyan Street, Yerevan",OK,Yerevan,Kentron,31,,Yerevan,Tumanyan street,,Armenia,40.1858786,44.5122241,Nominatim
"Թումանյան փողոց 24, Երևան","24 Tumanyan Street, Yerevan",OK,Yerevan,Kentron,24,,Yerevan,Tumanyan Street,,Armenia,40.181845,44.518664,Yandex
"Թումանյան փողոց 11Ա, Երևան","11A Tumanyan Street, Yerevan",OK,Yerevan,Kentron,11A,,Yerevan,Tumanyan Street,,Armenia,40.180295,44.51941,Yandex
"Թումանյան փողոց 11ա, Երևան","11a Tumanyan Street, Yerevan",OK,Yerevan,Kentron,11A,,Yerevan,Tumanyan Street,,Armenia,40.180295,44.51941,Yandex
"Հովհաննես Թումանյանի փողոց 1, Երևան","1 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,Kentron,1,,Yerevan,Tumanyan Street,,Armenia,40.178545,44.522509,Yandex
"Tumanyan street 18, Kapan","Tumanyan street 18, Kapan",OK,Syunik,Kapan,18,,Kapan,Tumanyan street,,Armenia,39.20707985,46.3983422,Nominatim
"Tumanyan street, Gyumri","Tumanyan street, Gyumri",OK,Shirak,Gyumri,,,Gyumri,Tumanyan street,,Armenia,40.78311788,43.8497648,Nominatim
"Հովհաննես Թումանյանի փողոց 9Ա, Երևան","9A Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,,9A,,Yerevan,Tumanyan Street,,Armenia,40.179702,44.519769,Yandex
"Հովհաննես Թումանյանի փողոց 5Ա, Երևան","5A Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,,5A,,Yerevan,Tumanyan Street,,Armenia,40.179461,44.521332,Yandex
"Հովհաննես Թումանյանի փողոց 40, Երևան","40 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,,40,,Yerevan,Tumanyan Street,,Armenia,40.186675,44.511873,Yandex
"Հովհաննես Թումանյանի փողոց 20, Երևան","20 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,,20,,Yerevan,Tumanyan Street,,Armenia,40.181087,44.51967,Yandex
"Հովհաննես Թումանյանի փողոց 11Ա, Երևան","11A Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,,11A,,Yerevan,Tumanyan Street,,Armenia,40.180295,44.51941,Yandex
"Հովհաննես Թումանյանի փողոց 11/4, Երևան","11/4 Hovhannes Tumanyan Street, Yerevan",OK,Yerevan,,11/4,,Yerevan,Tumanyan Street,,Armenia,40.180047,44.520416,Yandex
"Թումանյան 2-րդ անցուղի, Երևան","Tumanyan 2nd Passage, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tumanyan 2nd Lane,,Armenia,40.181949,44.519068,Yandex
"Margarian 2-nd lane, Yerevan","Margarian 2-nd lane, Yerevan",OK,Yerevan,,,,Yerevan,Tumanyan 2nd Lane,,Armenia,40.181949,44.519068,Yandex
"Ծաղկի հրապարակ 1, Ծաղկաձոր","Flower Square 1, Tsaghkadzor",OK,Kotayk,Tsaghkadzor,1,,Tsaghkadzor,Tsvetochnaya ploshchad,,Armenia,40.530803,44.720273,Yandex
"Ծովակալ Իսակովի պողոտա, Երևան","Admiral Isakov Avenue, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.157229,44.459896,Yandex
"Ծովակալ իսակովի պողոտա, Երևան","Admiral Isakov Avenue, Yerevan",OK,Yerevan,Yerevan,,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.157229,44.459896,Yandex
"Ծովակալ Իսակովի պողոտա 83/24, Երևան","Admiral Isakov Avenue 83/24, Yerevan",OK,Yerevan,Yerevan,83/24,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.159593,44.437645,Yandex
"Ծովակալ Իսակովի պողոտա 52/4, Երևան","Admiral Isakov Avenue 52/4, Yerevan",OK,Yerevan,Yerevan,52/4,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.160669,44.435525,Yandex
"Ծովակալ Իսակովի պողոտա 50/7, Երևան","Admiral Isakov Avenue 50/7, Yerevan",OK,Yerevan,Yerevan,50/7,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.161544,44.433378,Yandex
"Ծովակալ Իսակովի պողոտա 4, Երևան","Admiral Isakov Avenue 4, Yerevan",OK,Yerevan,Yerevan,4,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.17295,44.492909,Yandex
"Ծովակալ Իսակովի պողոտա 36, Երևան","Admiral Isakov Avenue 36, Yerevan",OK,Yerevan,Yerevan,36,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.161192,44.447365,Yandex
"Ծովակալ Իսակովի պողոտա 32, Երևան","Admiral Isakov Avenue 32, Yerevan",OK,Yerevan,Yerevan,32,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.158615,44.448667,Yandex
"Admiral Isakov Avenue, Երևան","Admiral Isakov Avenue, Yerevan",OK,Yerevan,Parakar municipality,,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.157229,44.459896,Yandex
"Проспект Адмирала Исакова, Ереван","Admiral Isakov Avenue, Yerevan",OK,Yerevan,Parakar municipality,,,Yerevan,Tsovakal Isakov Avenue,,Armenia,40.157229,44.459896,Yandex
"Tskhakhotagortsneri street 50, Yerevan","Tskhakhotagortsneri street 50, Yerevan",OK,Yerevan,Kentron,50,,Yerevan,Tskhakhotagortsneri street,,Armenia,40.16098165,44.51906361,Nominatim
"Ծխախոտագործների փողոց, Երևան","Tobacconists Street, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tskhakhotagortsneri street,,Armenia,40.16213107,44.51830358,Nominatim
"Tsitsernakaberd Hwy, Yerevan","Tsitsernakaberd Hwy, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1845005,44.48016223,Nominatim
"Tsitsernakaberd Hwy 1/2, Yerevan","Tsitsernakaberd Hwy 1/2, Yerevan",OK,Yerevan,Kentron,1/2,Kilikia,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1786838,44.489393,Nominatim
"Ծիծեռնակաբերդի խճուղի, Երևան","Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.181652,44.484833,Yandex
"Tsitsernakaberd Highway, Երևան","Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.181652,44.484833,Yandex
"Цицернакабердское шоссе, Ереван","Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.181652,44.484833,Yandex
"Tsitsernakaberd Highway, Yerevan","Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1845005,44.48016223,Nominatim
"Tsitsernakaberd Highway 1/3, Yerevan","Tsitsernakaberd Highway 1/3, Yerevan",OK,Yerevan,Kentron,1/3,Kilikia,Yerevan,Tsitsernakaberd Highway,,Armenia,40.17934115,44.48982438,Nominatim
"Цицернакабердское шоссе 1/3, Ереван","Tsitsernakaberd Highway 1/3, Yerevan",OK,Yerevan,Kentron,1/3,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.179289,44.489747,Yandex
"Tsitsernakaberd Highway 1/2, Yerevan","Tsitsernakaberd Highway 1/2, Yerevan",OK,Yerevan,Kentron,1/2,Kilikia,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1786838,44.489393,Nominatim
"Цицернакабердское шоссе 1/2, Ереван","Tsitsernakaberd Highway 1/2, Yerevan",OK,Yerevan,Kentron,1/2,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.178662,44.489334,Yandex
"Tsitsernakaberd Highway 1, Yerevan","Tsitsernakaberd Highway 1, Yerevan",OK,Yerevan,Kentron,1,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1881503,44.48332974,Nominatim
"Ծիծեռնակաբերդի խճուղի 41, Երևան","41 Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,38,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.18828,44.478985,Yandex
"Ծիծեռնակաբերդի խճուղի 2/1, Երևան","2/1 Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,,,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1845005,44.48016223,Nominatim
"Ծիծեռնակաբերդի խճուղի 1/1, Երևան","1/1 Tsitsernakaberd Highway, Yerevan",OK,Yerevan,Kentron,1/1,Kilikia,Yerevan,Tsitsernakaberd Highway,,Armenia,40.1790513,44.49094918,Nominatim
"Tserents 2nd Lane 14, Yerevan","Tserents 2nd Lane 14, Yerevan",OK,Yerevan,Malatia-Sebastia,14,,Yerevan,Tserents street 2nd lane,,Armenia,40.1723412,44.45292758,Nominatim
"Ծերենց փողոցի 2-րդ նրբանցք, Երևան","2nd alley of Tserents Street, Yerevan",OK,Yerevan,,,,Yerevan,Tserents Street 2nd Lane,,Armenia,40.171179,44.452449,Yandex
"Tserents Street, Yerevan","Tserents Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Tserents street,,Armenia,40.16899603,44.4536328,Nominatim
"Tsaturyan Street, Yerevan","Tsaturyan Street, Yerevan",OK,Armavir,Kentron,,,Yerevan,Tsaturyan street,Village of Parakar,Armenia,40.16285041,44.51769667,Nominatim
"Улица Царав Агпюр, Ереван","Tsarav Aghbyur Street, Yerevan",OK,Yerevan,Qanaqer-Zeytun,,,Yerevan,Tsarav Akhpyur Street,,Armenia,40.218147,44.545838,Yandex
"Ծարավ Աղբյուրի փողոց, Երևան","Tsarav Aghbyur Street, Yerevan",OK,Yerevan,Qanaqer-Zeytun,,,Yerevan,Tsarav Akhpyur Street,,Armenia,40.218147,44.545838,Yandex
"Ծարավ Աղբյուրի փողոց 96, Երևան","96 Tsarav Aghbyur Street, Yerevan",OK,Yerevan,Qanaqer-Zeytun,96,,Yerevan,Tsarav Akhpyur Street,,Armenia,40.218264,44.545416,Yandex
"Ծարավ Աղբյուրի փողոց 67, Երևան","67 Tsarav Aghbyur Street, Yerevan",OK,Yerevan,Qanaqer-Zeytun,61,,Yerevan,Tsarav Akhpyur Street,,Armenia,40.218456,44.553896,Yandex
"Улица Царав Ахбюр 121/5, Ереван","Tsarav Akhbyur Street 121/5, Yerevan",OK,Yerevan,Avan,121/5,,Yerevan,Tsarav Akhpyur Street,,Armenia,40.216645,44.554138,Yandex
"Ծարավ աղբյուրի փողոց, Երևան","Tsarav Aghbyuri Street, Yerevan",OK,Yerevan,Avan,,,Yerevan,Tsarav Akhpyur Street,,Armenia,40.218147,44.545838,Yandex
"Tsarav Aghbyuri Street, Yerevan","Tsarav Aghbyuri Street, Yerevan",OK,Yerevan,Avan,,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.21820569,44.55514096,Nominatim
"Tsarav Aghbyuri Street 55/6, Yerevan","Tsarav Aghbyuri Street 55/6, Yerevan",OK,Yerevan,Avan,55/6,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.21820569,44.55514096,Nominatim
"Tsarav Aghbyuri Street 55/5, Yerevan","Tsarav Aghbyuri Street 55/5, Yerevan",OK,Yerevan,Avan,55/5,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.217465,44.5528143,Nominatim
"Tsarav Aghbyuri Street 55/3, Yerevan","Tsarav Aghbyuri Street 55/3, Yerevan",OK,Yerevan,Avan,55/3,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.21820569,44.55514096,Nominatim
"Tsarav Aghbyuri Street 55/20, Yerevan","Tsarav Aghbyuri Street 55/20, Yerevan",OK,Yerevan,Avan,55/20,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.21820569,44.55514096,Nominatim
"Tsarav Aghbyuri Street 55/11, Yerevan","Tsarav Aghbyuri Street 55/11, Yerevan",OK,Yerevan,Avan,55/11,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.21820569,44.55514096,Nominatim
"Tsarav Aghbyuri Street 55, Yerevan","Tsarav Aghbyuri Street 55, Yerevan",OK,Yerevan,Avan,55/25,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.2188159,44.55144591,Nominatim
"Tsarav Aghbyuri Street 26, Yerevan","Tsarav Aghbyuri Street 26, Yerevan",OK,Yerevan,Avan,26,,Yerevan,Tsarav Aghbyuri Street,,Armenia,40.21820569,44.55514096,Nominatim
"Tsarav Aghbyur Street, Yerevan","Tsarav Aghbyur Street, Yerevan",OK,Yerevan,Qanaqer-Zeytun,,,Yerevan,Tsarav Aghbyur street,,Armenia,40.21913087,44.54421379,Nominatim
"Улица Царав Агпюр 55/10, Ереван","Tsarav Aghbyur Street 55/10, Yerevan",OK,Yerevan,Qanaqer-Zeytun,,,Yerevan,Tsarav Aghbyur street,,Armenia,40.177642,44.512519,Yandex
"Tsarav Aghbyur St, Yerevan","Tsarav Aghbyur St, Yerevan",OK,Yerevan,Qanaqer-Zeytun,,,Yerevan,Tsarav Aghbyur street,,Armenia,40.21913087,44.54421379,Nominatim
"Tsarav Aghbyur St , Yerevan","Tsarav Aghbyur St , Yerevan",OK,Yerevan,Qanaqer-Zeytun,,,Yerevan,Tsarav Aghbyur street,,Armenia,40.21913087,44.54421379,Nominatim
"Ծարավ Աղբյուրի փողոց 4, Երևան","4 Tsarav Aghbyur Street, Yerevan",OK,Yerevan,Qanaqer-Zeytun,58/4,,Yerevan,Tsarav Aghbyur street,,Armenia,40.22113615,44.54029475,Nominatim
"Улица Трдата Чартарапета, Гюмри","Trdata Chartarapet Street, Gyumri",OK,Shirak,Gyumri,,,Gyumri,Trdat Chartarapet Street,,Armenia,40.823751,43.828273,Yandex
"Տրդատ Ճարտարապետի փողոց 7/1, Գյումրի","7/1 Trdat Chartarapet Street, Gyumri",OK,Shirak,Gyumri,7/1,Ani district,Gyumri,Trdat Chartarapet Street,,Armenia,40.823601,43.826611,Yandex
"Տրդատ Ճարտարապետի փողոց 5/4, Գյումրի","5/4 Trdat Chartarapet Street, Gyumri",OK,Shirak,Gyumri,5/4,Ani district,Gyumri,Trdat Chartarapet Street,,Armenia,40.822898,43.827096,Yandex
"Տրդատ Ճարտարապետի փողոց 32А, Գյումրի","32A Trdat Chartarapet Street, Gyumri",OK,Shirak,Gyumri,32A,Ani district,Gyumri,Trdat Chartarapet Street,,Armenia,40.824611,43.823898,Yandex
"Տրդատ Ճարտարապետի փողոց 24А, Գյումրի","24A Trdat Chartarapet Street, Gyumri",OK,Shirak,Gyumri,24Ա,Ani district,Gyumri,Trdat Chartarapet Street,,Armenia,40.824542,43.825919,Yandex
"Տրդատ Ճարտարապետի փողոց 15, Գյումրի","15 Trdat Chartarapet Street, Gyumri",OK,Shirak,Gyumri,15,Ani district,Gyumri,Trdat Chartarapet Street,,Armenia,40.823109,43.823628,Yandex
"Տրդատ Ճարտարապետի փողոց 13/1, Գյումրի","13/1 Trdat Chartarapet Street, Gyumri",OK,Shirak,Gyumri,13/1,Ani district,Gyumri,Trdat Chartarapet Street,,Armenia,40.823225,43.824356,Yandex
"Улица Трдата Строителя, Гюмри","Trdata Stroitela Street, Gyumri",OK,Shirak,Gyumri,,Ani district,Gyumri,Trdat Architector street,,Armenia,40.82373621,43.8291318,Nominatim
"Trdat Architector street, Gyumri","Trdat Architector street, Gyumri",OK,Shirak,Gyumri,,Ani district,Gyumri,Trdat Architector street,,Armenia,40.82373621,43.8291318,Nominatim
