Address,Translated,Status,Province,Administrative District,Building,Neighbourhood,Town,Street,Village,Country,Latitude,Longitude,api,Block,Lane,Street Number,Index
"մխիթար հերացու փողոց, մասիս","Mkhitar Heratsi Street, Masis",OK,Ararat,Masis,,3rd District,Masis,Mkhitar Heratsi Street,,Armenia,40.064031,44.44953641,Nominatim,,,,['B73']
"3-րդ թաղամաս 1, մասիս","3rd District 1, Masis",OK,Ararat,Masis,1,3rd District,Masis,Mkhitar Heratsi Street,,Armenia,40.0666764,44.4517841,Nominatim,,,,['B79']
"մխիթար հերացի փողոց 20, մասիս","20 Mkhitar Heratsi Street, Masis",OK,Ararat,Masis,20,3rd District,Masis,Mkhitar Heratsi Street,,Armenia,40.06280205,44.44802456,Nominatim,,,,['A7379']
"kentronakan street, yerevan","Kentronakan Street, Yerevan",OK,Ararat,Masis,,,Yerevan,Kentronakan Street,Argavand,Armenia,40.15814373,44.44060238,Nominatim,,,,"['A3394', 'A3566', 'A3948', 'A8374', 'A8686', 'A12072', 'A18648', 'A19787', 'A25249', 'A32007', 'B97', 'B5325']"
"կենտրոնական փողոց, երևան","Central Street, Yerevan",OK,Ararat,Masis,,,,Kentronakan Street,Argavand,Armenia,40.15814373,44.44060238,Nominatim,,,,['A31907']
"kentronakan 4th street, argavand","Kentronakan 4th Street, Argavand",OK,Ararat,Masis,,,,Kentronakan Street,Argavand,Armenia,40.15544851,44.43607555,Nominatim,,,4th,['B70']
"հովհաննես թումանյան 1-ին նրբանցք 2, սայաթ-նովա","Hovhannes Tumanyan 1st Lane 2, Sayat-nova",OK,Ararat,Masis,3,,,Hovhannes Tumanyan Street,Sayat Nova,Armenia,40.06954387,44.39465968,Nominatim,,1st Lane,,['A2954']
"հովհաննես թումանյան 1-ին նրբանցք 26, սայաթ-նովա","Hovhannes Tumanyan 1st Lane 26, Sayat-nova",OK,Ararat,Masis,26,,,Hovhannes Tumanyan,Sayat-Nova village,Armenia,40.06956,44.394643,Yandex,,1st Lane,,['A1871']
"հովհաննես թումանյան 1-ին նրբանցք 13, սայաթ-նովա","Hovhannes Tumanyan 1st Lane 13, Sayat-nova",OK,Ararat,Masis,5,,,Hovhannes Tumanyan,Sayat-Nova village,Armenia,40.069449,44.394463,Yandex,,1st Lane,,['A1376']
"hanrapetutyun street, masis","Hanrapetutyun Street, Masis",OK,Ararat,Masis,,Nor District,Masis,Hanrapetutyun Street,,Armenia,40.06250843,44.44264927,Nominatim,,,,['B78']
"երկաթգծի փողոց, արգավանդ","Railway Street, Argavand",OK,Ararat,Masis,,,,Erkatgtsi Street,Argavand,Armenia,40.155982,44.429973,Yandex,,,,['B240']
"erkatgtsi 4th street, yerevan","Erkatgtsi 4th Street, Yerevan",OK,Ararat,Masis,,,,Erkatgtsi Street,Argavand,Armenia,40.156712,44.431267,Yandex,,,4th,['A12294']
"արգավանդ երկաթգծի 4րդ փող․, երևան","Argavand Railway 4th Street., Yerevan",OK,Ararat,Masis,4,,,Erkatgtsi Street,Argavand,Armenia,40.154665,44.431006,Yandex,,,2nd,['A32050']
"դպրոցականների նրբանցք 31, մասիս","31 Schoolchildren&#39;s Alley, Masis",OK,Ararat,Masis,27/13,Nor District,Masis,Dprocakanner Street,,Armenia,40.057916,44.445182,Yandex,,1st Lane,,['A7366']
"dprocakanner street, masis","Dprocakanner Street, Masis",OK,Ararat,Masis,,3rd District,Masis,Dprocakanner Street,,Armenia,40.06326864,44.44694783,Nominatim,,,,"['B35', 'B58', 'B93']"
"dprocakanner alley 10, masis","Dprocakanner Alley 10, Masis",OK,Ararat,Masis,10,,Masis,Dprocakanner Street,,Armenia,40.058289,44.444427,Yandex,,1st Lane,,['B85']
"9-րդ փողոց 57/8, երևան","57/8 9th Street, Yerevan",OK,Ararat,Masis,57/8,,,Armenia Street,Ayntap,Armenia,40.1057166,44.47387464,Nominatim,,,9th,['A839']
"8-րդ փողոց, նոր խարբերդ","8th Street, Nor Kharberd",OK,Ararat,Masis,,,,Armenia Street,Nor Kharberd,Armenia,40.104645,44.478985,Yandex,,,8th,['B98']
"1-ին փողոց 61, մասիս","61 1st Street, Masis",OK,Ararat,Masis,61,,Masis,Armenia Street,,Armenia,40.063838,44.440511,Yandex,,,1st,['B29']
"կենտրոնական փողոց 2, գեղանիստ","2 Central Street, Geghanist",OK,Ararat,Masis,10,,,Armenia Street,Geghanist village,Armenia,40.148916,44.430683,Yandex,,,1st,['A27972']
"1st street, nor kharberd","1st Street, Nor Kharberd",OK,Ararat,Masis,,,,Armenia Street,Nor Kharberd,Armenia,40.09051384,44.4873806,Nominatim,,,1st,['A14559']
"1st street 10, nor kharberd","1st Street 10, Nor Kharberd",OK,Ararat,Masis,10,,,Armenia Street,Nor Kharberd,Armenia,40.08727445,44.47235785,Nominatim,,,1st,['A13179']
"գործարանային փողոց 43, մասիս","43 Factory Street, Masis",OK,Ararat,Masis,43,,Masis,Armenia Street,,Armenia,40.062541,44.439909,Yandex,,,1st,['B65']
"արամի փողոց, ղուկասավան","Arami Street, Ghukasavan",OK,Ararat,Masis,,,,Aram Street,Ghukasavan village,Armenia,40.128164,44.418843,Yandex,,,,['B84']
"квартал нор, масис","Nor Quarter, Masis",OK,Ararat,Masis,,Nor District,Masis,,,Armenia,40.0602422,44.44221873,Nominatim,,,,['B87']
"նոր թաղամաս 38, մասիս","New District 38, Masis",OK,Ararat,Masis,38,Nor District,Masis,,,Armenia,40.0602422,44.44221873,Nominatim,,,,['B83']
"նոր թաղամաս 3/1, մասիս","New District 3/1, Masis",OK,Ararat,Masis,3/1,Nor District,Masis,,,Armenia,40.0602422,44.44221873,Nominatim,,,,['B72']
"նոր թաղամաս 27, մասիս","New District 27, Masis",OK,Ararat,Masis,27,Nor District,Masis,,,Armenia,40.060228,44.441364,Yandex,,,,['B68']
"3-րդ թաղամաս 20, մասիս","3rd District 20, Masis",OK,Ararat,Masis,20,3rd District,Masis,,,Armenia,40.06644,44.450635,Yandex,,,,['B57']
ararat › masis,Ararat › Masis,OK,Ararat,Masis,,,Masis,,,Armenia,40.0617279,44.4427915,Nominatim,,,,"['A7364', 'A7368', 'A7370', 'A7374', 'A7378', 'B30', 'B36', 'B44', 'B47', 'B49', 'B51', 'B52', 'B54', 'B56', 'B88', 'B90', 'B92', 'B102', 'B103', 'B104']"
ararat › geghanist,Ararat › Geghanist,OK,Ararat,Masis,,,,,Geghanist,Armenia,40.1446836,44.4262404,Nominatim,,,,"['B46', 'B53']"
ararat › argavand,Ararat › Argavand,OK,Ararat,Masis,,,,,Argavand,Armenia,40.1558286,44.4385332,Nominatim,,,,['A7376']
"երևանյան փողոց 24, մարտունի","Yerevanyan Street 24, Martuni",OK,Gegharkunik,Martuni,24,,Martuni,Yerevanyan Street,,Armenia,40.14506261,45.30139583,Nominatim,,,,['B349']
"erevanyan street 107ա, martuni",,OK,Gegharkunik,Martuni,,,Martuni,Yerevanyan Street,,Armenia,40.139713,45.302309,Yandex,,,,['B1457']
"yerevan street 19, tsakkar","Yerevan Street 19, Tsakkar",OK,Gegharkunik,Martuni,19,,,Yerevan Street,Tsakkar,Armenia,40.1721717,45.22256545,Nominatim,,,,['B341']
"buzand street, sarnaghbyur","Buzand Street, Sarnaghbyur",OK,Gegharkunik,Martuni,,,,Buzand Street,,Armenia,40.06265554,45.14828451,Nominatim,,,,['A2162']
"amiryan street 12, dzoragyugh","Amiryan Street 12, Dzoragyugh",OK,Gegharkunik,Martuni,12,,Yerevan,Amiryan Street,Dzoragyugh,Armenia,40.16792345,45.2006176,Nominatim,,,,['A5303']
gegharkunik › martuni,Gegharkunik › Martuni,OK,Gegharkunik,Martuni,,,Martuni,,,Armenia,40.1390478,45.3054735,Nominatim,,,,"['A7613', 'B346', 'B362']"
"zoravar andranik street, yerevan","Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.16811697,44.44605479,Nominatim,,,,"['A181', 'A501', 'A502', 'A507', 'A515', 'A792', 'A890', 'A1105', 'A1228', 'A1275', 'A1739', 'A1794', 'A1955', 'A2035', 'A2232', 'A2416', 'A2495', 'A2506', 'A2511', 'A2635', 'A2638', 'A2639', 'A2933', 'A3092', 'A3157', 'A3175', 'A3381', 'A3414', 'A4129', 'A4235', 'A4566', 'A4945', 'A5202', 'A5206', 'A5216', 'A6052', 'A6394', 'A6402', 'A7863', 'A7970', 'A8270', 'A8275', 'A9605', 'A10132', 'A10313', 'A15786', 'A15847', 'A16141', 'A17620', 'A19111', 'A19228', 'A19326', 'A19327', 'A19532', 'A19900', 'A19959', 'A20002', 'A20004', 'A20316', 'A20565', 'A20596', 'A20597', 'A21345', 'A21504', 'A21635', 'A21661', 'A22187', 'A22654', 'A22776', 'A23019', 'A23020', 'A23149', 'A23150', 'A23175', 'A23255', 'A23612', 'A23892', 'A24137', 'A24184', 'A24217', 'A24221', 'A24344', 'A24904', 'A25149', 'A25150', 'A25273', 'A25594', 'A25682', 'A25733', 'A25802', 'A25963', 'A26008', 'A26030', 'A26206', 'A26266', 'A26510', 'A26512', 'A27316', 'A27348', 'A27809', 'A27819', 'A27932', 'A28020', 'A28094', 'A28228', 'A28276', 'A28808', 'A28865', 'A29007', 'A29028', 'A29395', 'A30790', 'A31274', 'A31545', 'A31942', 'A32234', 'B2426', 'B2788', 'B3104', 'B3511', 'B3616', 'B3642', 'B3891', 'B4233', 'B6203', 'B8127']"
"զորավար անդրանիկի փողոց, yerevan","Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.16811697,44.44605479,Nominatim,,,,"['A713', 'A1829', 'A1851', 'A2691', 'A23241', 'A23672', 'A24254', 'A24899', 'A26257', 'A29283']"
"улица зоравар андраника, ереван","Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.175162,44.44573,Yandex,,,,['A902']
"zoravar andranik street, երևան","Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.175162,44.44573,Yandex,,,,"['A2303', 'A2726', 'A2827', 'A5052', 'A19693', 'A23323', 'A23673', 'A25726', 'A25734', 'A25849', 'A26544', 'A29128', 'A30209']"
"զորավար անդրանիկի փողոց, երևան","Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.175162,44.44573,Yandex,,,,"['A2610', 'A4741', 'A4746', 'A20969', 'A22982', 'A23967', 'A25140', 'A27411']"
"zoravar andranik street 96, yerevan","Zoravar Andranik Street 96, Yerevan",OK,Yerevan,Malatia-Sebastia,96,,Yerevan,Zoravar Andranik Street,,Armenia,40.1705628,44.44450502,Nominatim,,,,['A29716']
"zoravar andranik street 93, yerevan","Zoravar Andranik Street 93, Yerevan",OK,Yerevan,Malatia-Sebastia,93,,Yerevan,Zoravar Andranik Street,,Armenia,40.1711206,44.4470464,Nominatim,,,,['A22045']
"zoravar andranik street 92, yerevan","Zoravar Andranik Street 92, Yerevan",OK,Yerevan,Malatia-Sebastia,92,,Yerevan,Zoravar Andranik Street,,Armenia,40.16917705,44.44422865,Nominatim,,,,['A24991']
"zoravar andranik street 78, yerevan","Zoravar Andranik Street 78, Yerevan",OK,Yerevan,Malatia-Sebastia,78,,Yerevan,Zoravar Andranik Street,,Armenia,40.1702779,44.44265032,Nominatim,,,,['A25724']
"zoravar andranik street 77, yerevan","Zoravar Andranik Street 77, Yerevan",OK,Yerevan,Malatia-Sebastia,77,,Yerevan,Zoravar Andranik Street,,Armenia,40.17305675,44.44718161,Nominatim,,,,['A22099']
"zoravar andranik street 62, yerevan","Zoravar Andranik Street 62, Yerevan",OK,Yerevan,Malatia-Sebastia,62,,Yerevan,Zoravar Andranik Street,,Armenia,40.1719212,44.44378302,Nominatim,,,,['A2258']
"zoravar andranik street 6, yerevan","Zoravar Andranik Street 6, Yerevan",OK,Yerevan,Malatia-Sebastia,54/6,,Yerevan,Zoravar Andranik Street,,Armenia,40.16770875,44.44531452,Nominatim,,,,"['A1491', 'A3132']"
"zoravar andranik street 149, yerevan","Zoravar Andranik Street 149, Yerevan",OK,Yerevan,Malatia-Sebastia,149,,Yerevan,Zoravar Andranik Street,,Armenia,40.16541545,44.44220295,Nominatim,,,,['A22026']
"zoravar andranik street 146, yerevan","Zoravar Andranik Street 146, Yerevan",OK,Yerevan,Malatia-Sebastia,146,,Yerevan,Zoravar Andranik Street,,Armenia,40.16660125,44.44262562,Nominatim,,,,['B3605']
"zoravar andranik street 144, yerevan","Zoravar Andranik Street 144, Yerevan",OK,Yerevan,Malatia-Sebastia,144,,Yerevan,Zoravar Andranik Street,,Armenia,40.1667675,44.44291621,Nominatim,,,,"['A5930', 'A21941']"
"улица зоравара андраника 143, ереван","Zoravar Andranik Street 143, Yerevan",OK,Yerevan,Malatia-Sebastia,143,,Yerevan,Zoravar Andranik Street,,Armenia,40.165845,44.442684,Yandex,,,,['A29557']
"zoravar andranik street 142, yerevan","Zoravar Andranik Street 142, Yerevan",OK,Yerevan,Malatia-Sebastia,142,,Yerevan,Zoravar Andranik Street,,Armenia,40.16778575,44.44240816,Nominatim,,,,['B5952']
"zoravar andranik street 127, yerevan","Zoravar Andranik Street 127, Yerevan",OK,Yerevan,Malatia-Sebastia,127,,Yerevan,Zoravar Andranik Street,,Armenia,40.1665298,44.44478842,Nominatim,,,,['A13540']
"zoravar andranik street 123, yerevan","Zoravar Andranik Street 123, Yerevan",OK,Yerevan,Malatia-Sebastia,123,,Yerevan,Zoravar Andranik Street,,Armenia,40.1663534,44.44538328,Nominatim,,,,['A12552']
"улица зоравара андраника 122, ереван","Zoravar Andranik Street 122, Yerevan",OK,Yerevan,Malatia-Sebastia,122,,Yerevan,Zoravar Andranik Street,,Armenia,40.1681836,44.44363025,Nominatim,,,,['A25568']
"zoravar andranik street 121, yerevan","Zoravar Andranik Street 121, Yerevan",OK,Yerevan,Malatia-Sebastia,121,,Yerevan,Zoravar Andranik Street,,Armenia,40.1661068,44.4456212,Nominatim,,,,['A11873']
"zoravar andranik street 120, yerevan","Zoravar Andranik Street 120, Yerevan",OK,Yerevan,Malatia-Sebastia,120,,Yerevan,Zoravar Andranik Street,,Armenia,40.1679406,44.44389767,Nominatim,,,,['A16198']
"zoravar andranik street 118, yerevan","Zoravar Andranik Street 118, Yerevan",OK,Yerevan,Malatia-Sebastia,118,,Yerevan,Zoravar Andranik Street,,Armenia,40.1683632,44.44411508,Nominatim,,,,['A1181']
"zoravar andranik street 112, yerevan","Zoravar Andranik Street 112, Yerevan",OK,Yerevan,Malatia-Sebastia,112,,Yerevan,Zoravar Andranik Street,,Armenia,40.16741925,44.44443458,Nominatim,,,,['A19390']
"zoravar andranik street 102, yerevan","Zoravar Andranik Street 102, Yerevan",OK,Yerevan,Malatia-Sebastia,102,,Yerevan,Zoravar Andranik Street,,Armenia,40.16977325,44.44457183,Nominatim,,,,['A4547']
"zoravar andranik st, yerevan","Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.16811697,44.44605479,Nominatim,,,,['A31350']
"zoravar andranik st 61, yerevan","Zoravar Andranik Street 61, Yerevan",OK,Yerevan,Malatia-Sebastia,61,,Yerevan,Zoravar Andranik Street,,Armenia,40.17720725,44.44867595,Nominatim,,,,['A28845']
"zoravar andranik 120, yerevan","Zoravar Andranik 120, Yerevan",OK,Yerevan,Malatia-Sebastia,120,,Yerevan,Zoravar Andranik Street,,Armenia,40.1679406,44.44389767,Nominatim,,,,['A552']
"улица андраника зоравара, yerevan","Andranik Zoravar Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.16811697,44.44605479,Nominatim,,,,"['A1027', 'A20312', 'A20313']"
"улица андраника зоравара 58/1, yerevan","Andranik Zoravar Street 58/1, Yerevan",OK,Yerevan,Malatia-Sebastia,58,,Yerevan,Zoravar Andranik Street,,Armenia,40.17215,44.444167,Yandex,,,,['A6172']
"andranik zoravar st,, yerevan","Andranik Zoravar Street,, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Zoravar Andranik Street,,Armenia,40.16811697,44.44605479,Nominatim,,,,['A26204']
"զորավար անդրանիկի փողոց 35ա, երևան","35a Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,35,,Yerevan,Zoravar Andranik Street,,Armenia,40.178118,44.448613,Yandex,,,,['A1577']
"զորավար անդրանիկի փողոց 19/11, երևան","19/11 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,19,,Yerevan,Zoravar Andranik Street,,Armenia,40.178614,44.447257,Yandex,,,,['A28273']
"զորավար անդրանիկի փողոց 15, երևան","15 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,15,,Yerevan,Zoravar Andranik Street,,Armenia,40.17909455,44.44730705,Nominatim,,,,"['A21829', 'A30499']"
"զորավար անդրանիկի փողոց 146/2, երևան","146/2 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,146/2,,Yerevan,Zoravar Andranik Street,,Armenia,40.16644365,44.44263657,Nominatim,,,,['A22819']
"զորավար անդրանիկի փողոց 110, yerevan","110 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,110,,Yerevan,Zoravar Andranik Street,,Armenia,40.167609,44.444733,Yandex,,,,"['A21682', 'A30234']"
"զորավար անդրանիկի փողոց 108, yerevan","108 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,108,,Yerevan,Zoravar Andranik Street,,Armenia,40.167995,44.444876,Yandex,,,,['A1018']
"զորավար անդրանիկի փողոց 102, yerevan","102 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,102,,Yerevan,Zoravar Andranik Street,,Armenia,40.169821,44.444499,Yandex,,,,['A25525']
"զորավար անդրանիկի փողոց 1/1, երևան","1/1 Zoravar Andranik Street, Yerevan",OK,Yerevan,Malatia-Sebastia,1/1,,Yerevan,Zoravar Andranik Street,,Armenia,40.176009,44.444158,Yandex,,,,['B545']
"zoravar andranik street 50, yerevan","Zoravar Andranik Street 50, Yerevan",OK,Yerevan,Malatia-Sebastia,50,,Yerevan,Zoravar Andranik Street,,Armenia,40.1760456,44.4444439,Nominatim,,,,['A27303']
"улица зоравара андраника 49, ереван","Zoravar Andranik Street 49, Yerevan",OK,Yerevan,Malatia-Sebastia,49,,Yerevan,Zoravar Andranik Street,,Armenia,40.177318,44.44635,Yandex,,,,['A18630']
"zoravar andranik street 46, yerevan","Zoravar Andranik Street 46, Yerevan",OK,Yerevan,Malatia-Sebastia,46,,Yerevan,Zoravar Andranik Street,,Armenia,40.1764024,44.4441975,Nominatim,,,,['A96']
"zoravar andranik street 43, yerevan","Zoravar Andranik Street 43, Yerevan",OK,Yerevan,Malatia-Sebastia,43,,Yerevan,Zoravar Andranik Street,,Armenia,40.1774983,44.44688885,Nominatim,,,,['A26292']
"zoravar andranik street 27, yerevan","Zoravar Andranik Street 27, Yerevan",OK,Yerevan,Malatia-Sebastia,27,,Yerevan,Zoravar Andranik Street,,Armenia,40.178049,44.446655,Yandex,,,,['A23298']
"улица зоравара андраника 22, ереван","Zoravar Andranik Street 22, Yerevan",OK,Yerevan,Malatia-Sebastia,22,,Yerevan,Zoravar Andranik Street,,Armenia,40.180764,44.446134,Yandex,,,,['A16104']
"zoravar andranik street 18, երևան","Zoravar Andranik Street 18, Yerevan",OK,Yerevan,Malatia-Sebastia,18,,Yerevan,Zoravar Andranik Street,,Armenia,40.182052,44.446529,Yandex,,,,['A19462']
"улица зоравар андраника 16, ереван","Zoravar Andranik Street 16, Yerevan",OK,Yerevan,Malatia-Sebastia,75/16,,Yerevan,Zoravar Andranik Street,,Armenia,40.17279,44.4461162,Nominatim,,,,['A1264']
"улица андраника зоравара 20, yerevan","Andranik Zoravar Street 20, Yerevan",OK,Yerevan,Malatia-Sebastia,20,,Yerevan,Zoravar Andranik Street,,Armenia,40.18148,44.446332,Yandex,,,,['A32142']
"yervand otyan street, yerevan","Yervand Otyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Yervand Otyan Street,,Armenia,40.18072236,44.45239734,Nominatim,,,,['A29318']
"voskanyan street, yerevan","Voskanyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Voskanyan Street,,Armenia,40.17597759,44.46075362,Nominatim,,,,['A24163']
"vantyan street, yerevan","Vantyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Vantyan Street,,Armenia,40.17396752,44.45504217,Nominatim,,,,['A8241']
"վանթյան փողոց 38, երևան","38 Vantyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,38,,Yerevan,Vantyan Street,,Armenia,40.172929,44.461082,Yandex,,,,['A21956']
"մամիկոնյան փողոց, yerevan","Mamikonyan Street, Yerevan",OK,Ararat,Malatia-Sebastia,,,Yerevan,Ulitsa V. Mamikonyana,Hayanist village,Armenia,40.124198,44.374412,Yandex,,,,"['A2369', 'A24175', 'A29491']"
"մամիկոնյան փողոց 51, yerevan","51 Mamikonyan Street, Yerevan",OK,Ararat,Malatia-Sebastia,51,,Yerevan,Ulitsa V. Mamikonyana,Hayanist village,Armenia,40.124198,44.374412,Yandex,,,,['A2182']
"մամիկոնյան փողոց 32/1, yerevan","32/1 Mamikonyan Street, Yerevan",OK,Ararat,Malatia-Sebastia,29,,Yerevan,Ulitsa V. Mamikonyana,Hayanist village,Armenia,40.124095,44.373739,Yandex,,,,['A2741']
"tserents 2nd lane 14, yerevan","Tserents 2nd Lane 14, Yerevan",OK,Yerevan,Malatia-Sebastia,14,,Yerevan,Tserents Street,,Armenia,40.1723412,44.45292758,Nominatim,,2nd Lane,,['A31906']
"ծերենց փողոցի 2-րդ նրբանցք, երևան","2nd Alley Of Tserents Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Tserents Street,,Armenia,40.171179,44.452449,Yandex,,2nd Lane,,['A21070']
"tserents street, yerevan","Tserents Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Tserents Street,,Armenia,40.16899603,44.4536328,Nominatim,,,,"['A5701', 'A12744', 'A12960']"
"tichina street, yerevan","Tichina Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Tichina Street,,Armenia,40.18434668,44.45496055,Nominatim,,,,"['A14575', 'A20217', 'A21979', 'A31758', 'B2750', 'B5239']"
"tichina street 34, yerevan","Tichina Street 34, Yerevan",OK,Yerevan,Malatia-Sebastia,34,,Yerevan,Tichina Street,,Armenia,40.1832389,44.46169195,Nominatim,,,,['A6050']
"svachyan street 14, yerevan","Svachyan Street 14, Yerevan",OK,Yerevan,Malatia-Sebastia,14,A-3,Yerevan,Svachyan Street,,Armenia,40.1759763,44.44935895,Nominatim,,,,['B6749']
"svachyan street 12, yerevan","Svachyan Street 12, Yerevan",OK,Yerevan,Malatia-Sebastia,12,A-3,Yerevan,Svachyan Street,,Armenia,40.1758301,44.4504395,Nominatim,,,,['A23549']
"սվաճյան փողոց 4, երևան","4 Svachyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,14/4,A-3,Yerevan,Svachyan Street,,Armenia,40.17562825,44.44944825,Nominatim,,,,['A1824']
"улица свачяна, ереван","Svacyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,A-1,Yerevan,Svachyan Street,,Armenia,40.17507777,44.44544308,Nominatim,,,,['A23238']
"svachyan street, yerevan","Svachyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,A-1,Yerevan,Svachyan Street,,Armenia,40.17507777,44.44544308,Nominatim,,,,"['A5452', 'A5499', 'A5939', 'A5948', 'A8339', 'A8727', 'A10297', 'A10642', 'A17317', 'A20579', 'A20583', 'A20641', 'A20646', 'A22473', 'A23409', 'A25326', 'A29023', 'A29947', 'A30118', 'A30777', 'A31003', 'B4351', 'B4353', 'B5712', 'B7786']"
"սվաճյան փողոց, երևան","Svachyan Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,A-1,Yerevan,Svachyan Street,,Armenia,40.175106,44.445397,Yandex,,,,"['A27919', 'A30072']"
"svachyan street 60/1, yerevan","Svachyan Street 60/1, Yerevan",OK,Yerevan,Malatia-Sebastia,60/1,A-1,Yerevan,Svachyan Street,,Armenia,40.1746893,44.4392847,Nominatim,,,,['A24260']
"svachyan street 38, yerevan","Svachyan Street 38, Yerevan",OK,Yerevan,Malatia-Sebastia,38,A-1,Yerevan,Svachyan Street,,Armenia,40.17508235,44.44316125,Nominatim,,,,['B7343']
"svachyan street 32, yerevan","Svachyan Street 32, Yerevan",OK,Yerevan,Malatia-Sebastia,32,A-1,Yerevan,Svachyan Street,,Armenia,40.17574995,44.4439967,Nominatim,,,,['A5460']
"shrjanain street, yerevan","Shrjanain Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Shrjanain Street,,Armenia,40.17378395,44.46643031,Nominatim,,,,"['A6375', 'A28698']"
"shrjanain street 2/4, yerevan","Shrjanain Street 2/4, Yerevan",OK,Yerevan,Malatia-Sebastia,2/4,,Yerevan,Shrjanain Street,,Armenia,40.1755288,44.46752129,Nominatim,,,,['A4127']
"shrjanain street 2, yerevan","Shrjanain Street 2, Yerevan",OK,Yerevan,Malatia-Sebastia,2,,Yerevan,Shrjanain Street,,Armenia,40.1745208,44.4661514,Nominatim,,,,"['A6185', 'A6191']"
"շահումյանի 1-ին փողոց, երևան","Shahumyan 1st Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,Araratyan 1st Massive,Yerevan,Shahumyan Street,,Armenia,40.167519,44.462555,Yandex,,,1st,"['A89', 'A26045']"
"shahumyan 4th street 2nd lane 23, yerevan","Shahumyan 4th Street 2nd Lane 23, Yerevan",OK,Yerevan,Malatia-Sebastia,23,,Yerevan,Shahumyan Street,,Armenia,40.1615377,44.45358917,Nominatim,,2nd Lane,4th,['A19685']
"շահումյան 16֊րդ փողոց, երևան","Shahumyan 16th Street, Yerevan",OK,Yerevan,Malatia-Sebastia,16,,Yerevan,Shahumyan Street,,Armenia,40.165714,44.462358,Yandex,,,2nd,['A19991']
"shahumyan 1st street, yerevan","Shahumyan 1st Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Shahumyan Street,,Armenia,40.16772022,44.46278946,Nominatim,,,1st,"['A4013', 'A19539', 'A20654', 'A29476']"
"shahumyan 1st street 12, yerevan","Shahumyan 1st Street 12, Yerevan",OK,Yerevan,Malatia-Sebastia,12,,Yerevan,Shahumyan Street,,Armenia,40.1690823,44.46363854,Nominatim,,,1st,['A3212']
"shahumyan 16th street, yerevan","Shahumyan 16th Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Shahumyan Street,,Armenia,40.18418369,44.46470234,Nominatim,,,16th,['A19467']
"sebastya st, yerevan","Sebastya Street, Yerevan",OK,Yerevan,Malatia-Sebastia,,,Yerevan,Sebastia Street,,Armenia,40.176478,44.458396,Yandex,,,,['B7454']
